date,heure,NB_TUNA,NB_SHARK,TUNA_REPRODUCTION_TIME,SHARK_REPRODUCTION_TIME,SHARK_ENERGY,SHARK_ENERGY_GAIN,chronon_final
2025-05-09,10:03:38,70,25,3,6,5,4,21
2025-05-09,10:04:56,70,25,3,6,5,4,207
2025-05-09,10:05:10,70,25,3,6,5,4,4
2025-05-09,10:05:40,70,250,3,6,5,4,85
2025-05-09,10:06:04,10,250,3,6,5,4,70
2025-05-09,10:16:06,10,250,3,6,5,4,63
2025-05-09,10:16:52,10,250,3,6,5,4,1
2025-05-09,10:17:35,10,250,3,6,5,4,1
2025-05-09,10:18:29,10,250,3,6,5,4,173
2025-05-09,10:18:58,100,1,3,6,5,4,31
2025-05-09,10:23:27,100,1,3,6,5,4,27
2025-05-09,10:23:48,10,250,3,6,5,4,24
2025-05-09,10:24:57,70,25,3,6,5,4,133
2025-05-09,10:25:25,1,25,30,6,5,4,26
2025-05-09,10:25:50,1,25,30,6,50,4,90
2025-05-09,10:26:31,1,25,30,60,50,4,55
09-05-25,10:37:26,70,25,3,6,5,4,13,Arrêt manuel par l'utilisateur,1068,2
09-05-25,10:40:26,70,25,3,6,5,4,11,578,2,Arrêt manuel par l'utilisateur
09-05-25,10:41:13,1,25,3,6,5,4,67,2500,0,La grille est pleine
09-05-25,10:41:15,1,25,3,6,5,4,67,2500,0,Arrêt manuel par l'utilisateur
09-05-25,10:41:41,1,25,3,6,5,4,67,2500,0,La grille est pleine
09-05-25,10:42:07,1,25,3,6,5,4,13,18,0,Arrêt manuel par l'utilisateur
09-05-25,10:42:22,1,25,3,6,10,4,19,65,34,Arrêt manuel par l'utilisateur
09-05-25,10:42:55,1,25,10,6,10,4,134,0,32,Arrêt manuel par l'utilisateur
09-05-25,10:43:11,1,25,10,11,10,4,18,2,0,Arrêt manuel par l'utilisateur
09-05-25,10:43:24,1,25,10,11,10,4,22,0,0,Plus aucune créature vivante
